Date,Open,High,Low,Close,Volume,,5MA,20MA,Date,5MA-20MA,
08/01/14,3.53,3.61,3.51,3.56,2643000,3.56,3.744,3.954,08/01/14,-0.21,DOWN
08/04/14,3.58,3.68,3.54,3.65,3294600,3.65,3.682,3.935,08/04/14,-0.253,DOWN
08/05/14,3.72,3.82,3.71,3.74,9750300,3.74,3.63,3.932,08/05/14,-0.302,DOWN
08/06/14,3.71,3.76,3.67,3.69,3064400,3.69,3.634,3.924,08/06/14,-0.29,UP
08/07/14,3.68,3.68,3.56,3.59,2268600,3.59,3.646,3.908,08/07/14,-0.262,UP
08/08/14,3.72,3.72,3.62,3.67,2243100,3.67,3.668,3.891,08/08/14,-0.223,UP
08/11/14,3.7,3.74,3.62,3.71,2510800,3.71,3.68,3.875,08/11/14,-0.195,UP
08/12/14,3.7,3.72,3.62,3.64,1488900,3.64,3.66,3.855,08/12/14,-0.195,UP
08/13/14,3.67,3.69,3.65,3.67,2232100,3.67,3.656,3.839,08/13/14,-0.183,UP
08/14/14,3.68,3.74,3.6,3.72,2466100,3.72,3.682,3.825,08/14/14,-0.143,UP
08/15/14,3.76,3.76,3.65,3.69,1918300,3.69,3.686,3.806,08/15/14,-0.12,UP
08/18/14,3.72,3.76,3.69,3.75,2212800,3.75,3.694,3.785,08/18/14,-0.091,UP
08/19/14,3.74,3.8,3.74,3.79,1320700,3.79,3.724,3.764,08/19/14,-0.04,UP
08/20/14,3.76,3.78,3.72,3.75,1248500,3.75,3.74,3.75,08/20/14,-0.01,UP
08/21/14,3.72,3.75,3.69,3.74,1141700,3.74,3.744,3.73,08/21/14,0.014,UP
08/22/14,3.75,3.75,3.7,3.74,1547900,3.74,3.754,3.713,08/22/14,0.041,UP
08/25/14,3.75,3.75,3.66,3.68,931400,3.68,3.74,3.699,08/25/14,0.041,DOWN
08/26/14,3.68,3.73,3.65,3.73,1502200,3.73,3.728,3.686,08/26/14,0.043,UP
08/27/14,3.77,3.82,3.69,3.69,1728600,3.69,3.716,3.687,08/27/14,0.029,DOWN
08/28/14,3.69,3.74,3.63,3.72,1881600,3.72,3.712,3.696,08/28/14,0.016,DOWN
08/29/14,3.72,3.78,3.71,3.77,971700,3.77,3.718,3.707,08/29/14,0.012,DOWN
09/02/14,3.75,3.94,3.74,3.94,3458400,3.94,3.77,3.721,09/02/14,0.049,UP
09/03/14,3.94,4.02,3.9,4,3721700,4,3.824,3.734,09/03/14,0.09,UP
09/04/14,4.02,4.08,4,4.07,3504000,4.07,3.9,3.753,09/04/14,0.147,UP
