Date,Open,High,Low,Close,%chg,,5MA,20MA,Date,5MA-20MA,
08/01/14,3.89,3.97,3.7,3.91,0.77%,3.91,3.92,4.03,08/01/14,-0.107,up
08/04/14,3.98,4.04,3.89,4.03,3.07%,4.03,3.96,4.01,08/04/14,-0.051,up
08/05/14,4.01,4.09,3.83,3.91,-2.98%,3.91,3.96,4,08/05/14,-0.042,up
08/06/14,3.88,3.98,3.82,3.9,-0.26%,3.9,3.93,3.98,08/06/14,-0.056,down
08/07/14,3.91,4.02,3.84,3.89,-0.26%,3.89,3.93,3.97,08/07/14,-0.043,up
08/08/14,3.9,4.05,3.82,4.02,3.34%,4.02,3.95,3.96,08/08/14,-0.01,up
08/11/14,4.05,4.23,4.02,4.22,4.98%,4.22,3.99,3.96,08/11/14,0.025,up
08/12/14,4.2,4.35,4.16,4.17,-1.18%,4.17,4.04,3.97,08/12/14,0.069,up
08/13/14,4.22,4.31,4.15,4.16,-0.24%,4.16,4.09,3.98,08/13/14,0.109,up
08/14/14,4.17,4.34,4.17,4.32,3.85%,4.32,4.18,4.02,08/14/14,0.163,up
08/15/14,4.36,4.43,4.18,4.3,-0.46%,4.3,4.23,4.04,08/15/14,0.197,up
08/18/14,4.4,4.42,4.32,4.37,1.63%,4.37,4.26,4.06,08/18/14,0.21,up
08/19/14,4.4,4.45,4.33,4.39,0.46%,4.39,4.31,4.07,08/19/14,0.236,up
08/20/14,4.34,4.39,4.2,4.29,-2.28%,4.29,4.33,4.08,08/20/14,0.255,up
08/21/14,4.28,4.35,4.16,4.18,-2.56%,4.18,4.31,4.09,08/21/14,0.221,down
08/22/14,4.18,4.25,4.07,4.24,1.44%,4.24,4.29,4.1,08/22/14,0.194,down
08/25/14,4.29,4.32,4.16,4.2,-0.94%,4.2,4.26,4.12,08/25/14,0.142,down
08/26/14,4.22,4.4,4.18,4.4,4.76%,4.4,4.26,4.14,08/26/14,0.12,down
08/27/14,4.43,4.43,4.27,4.32,-1.82%,4.32,4.27,4.16,08/27/14,0.113,down
08/28/14,4.3,4.42,4.3,4.36,0.93%,4.36,4.3,4.18,08/28/14,0.125,up
08/29/14,4.39,4.41,4.3,4.38,0.46%,4.38,4.33,4.2,08/29/14,0.13,up
09/02/14,4.4,4.41,4.25,4.31,-1.60%,4.31,4.35,4.22,09/02/14,0.138,up
09/03/14,4.34,4.39,4.26,4.38,1.62%,4.38,4.35,4.24,09/03/14,0.11,down
09/04/14,4.38,4.91,4.31,4.65,6.16%,4.65,4.42,4.28,09/04/14,0.138,up
09/05/14,4.63,4.64,4.35,4.47,-3.87%,4.47,4.44,4.31,09/05/14,0.131,down
09/08/14,4.46,4.59,4.38,4.57,2.24%,4.57,4.48,4.33,09/08/14,0.142,up
09/09/14,4.55,4.61,4.4,4.41,-3.50%,4.41,4.5,4.34,09/09/14,0.153,up
09/10/14,4.4,4.57,4.36,4.53,2.72%,4.53,4.53,4.36,09/10/14,0.165,up
09/11/14,4.47,4.85,4.45,4.85,7.06%,4.85,4.57,4.4,09/11/14,0.17,up
09/12/14,4.88,4.88,4.66,4.73,-2.47%,4.73,4.62,4.42,09/12/14,0.202,up
09/15/14,4.72,4.72,4.47,4.51,-4.65%,4.51,4.61,4.43,09/15/14,0.179,down
09/16/14,4.5,4.6,4.41,4.57,1.33%,4.57,4.64,4.44,09/16/14,0.201,up
09/17/14,4.58,4.71,4.56,4.63,1.31%,4.63,4.66,4.45,09/17/14,0.209,up
09/18/14,4.67,4.71,4.53,4.58,-1.08%,4.58,4.6,4.46,09/18/14,0.141,down
09/19/14,4.63,4.68,4.43,4.54,-0.87%,4.54,4.57,4.48,09/19/14,0.084,down
09/22/14,4.49,4.54,4.37,4.43,-2.42%,4.43,4.55,4.49,09/22/14,0.059,down
09/23/14,4.39,4.49,4.3,4.33,-2.26%,4.33,4.5,4.5,09/23/14,0.005,down
09/24/14,4.34,4.47,4.33,4.44,2.54%,4.44,4.46,4.5,09/24/14,-0.035,down
09/25/14,4.42,4.49,4.23,4.28,-3.60%,4.28,4.4,4.5,09/25/14,-0.093,down
09/26/14,4.31,4.35,4.25,4.33,1.17%,4.33,4.36,4.5,09/26/14,-0.134,down
09/29/14,4.25,4.4,4.22,4.27,-1.39%,4.27,4.33,4.49,09/29/14,-0.161,down
09/30/14,4.27,4.35,4.2,4.21,-1.41%,4.21,4.31,4.49,09/30/14,-0.18,down
10/01/14,4.22,4.27,4,4.1,-2.61%,4.1,4.24,4.47,10/01/14,-0.234,down
10/02/14,4.08,4.14,3.86,4.1,0.00%,4.1,4.2,4.44,10/02/14,-0.242,down
10/03/14,4.17,4.27,4.05,4.17,1.71%,4.17,4.17,4.43,10/03/14,-0.259,down
10/06/14,4.17,4.2,4,4.03,-3.36%,4.03,4.12,4.4,10/06/14,-0.28,down
10/07/14,3.97,4.05,3.88,3.89,-3.47%,3.89,4.06,4.38,10/07/14,-0.318,down
10/08/14,3.88,4.04,3.8,4,2.83%,4,4.04,4.35,10/08/14,-0.312,up
10/09/14,4,4.03,3.71,3.72,-7.00%,3.72,3.96,4.29,10/09/14,-0.331,down
10/10/14,3.76,3.92,3.65,3.7,-0.54%,3.7,3.87,4.24,10/10/14,-0.374,down
10/13/14,3.71,3.9,3.61,3.78,2.16%,3.78,3.82,4.21,10/13/14,-0.387,down
10/14/14,3.86,3.98,3.75,3.81,0.79%,3.81,3.8,4.17,10/14/14,-0.365,up
10/15/14,3.75,3.97,3.7,3.94,3.41%,3.94,3.79,4.13,10/15/14,-0.343,up
10/16/14,3.82,4.11,3.77,4.07,3.30%,4.07,3.86,4.11,10/16/14,-0.247,up
10/17/14,4.17,4.19,4,4.03,-0.98%,4.03,3.93,4.08,10/17/14,-0.156,up
10/20/14,4.03,4.26,4.03,4.25,5.46%,4.25,4.02,4.07,10/20/14,-0.053,up
10/21/14,4.29,4.33,4.16,4.27,0.47%,4.27,4.11,4.07,10/21/14,0.043,up
10/22/14,4.26,4.35,4.18,4.23,-0.94%,4.23,4.17,4.06,10/22/14,0.111,up
10/23/14,4.29,4.45,4.25,4.37,3.31%,4.37,4.23,4.06,10/23/14,0.167,up
10/24/14,4.37,4.42,4.3,4.3,-1.60%,4.3,4.28,4.06,10/24/14,0.222,up
10/27/14,4.27,4.44,4.26,4.42,2.79%,4.42,4.32,4.07,10/27/14,0.249,up
10/28/14,4.45,4.61,4.44,4.59,3.85%,4.59,4.38,4.09,10/28/14,0.293,up
10/29/14,4.58,4.62,4.41,4.45,-3.05%,4.45,4.43,4.11,10/29/14,0.32,up
10/30/14,4.43,4.6,4.41,4.57,2.70%,4.57,4.47,4.13,10/30/14,0.337,up
10/31/14,4.68,4.75,4.26,4.29,-6.13%,,4.46,4.14,10/31/14,0.329,down
11/03/14,4.33,4.41,4.17,4.29,0.00%,,4.44,4.15,11/03/14,0.29,down
11/04/14,4.27,4.39,4.17,4.18,-2.56%,,4.36,4.16,11/04/14,0.193,down
11/05/14,4.24,4.25,3.98,4,-4.31%,,4.27,4.16,11/05/14,0.103,down
11/06/14,3.98,4.13,3.94,4.12,3.00%,,4.18,4.18,11/06/14,-0.007,down
11/07/14,3.85,4,3.75,3.81,-7.52%,,4.08,4.19,11/07/14,-0.109,down
11/10/14,3.78,3.9,3.66,3.9,2.36%,,4,4.2,11/10/14,-0.193,down
11/11/14,3.87,4.09,3.85,4.04,3.59%,,3.97,4.21,11/11/14,-0.232,down
11/12/14,4.01,4.13,3.95,4.08,0.99%,,3.99,4.21,11/12/14,-0.223,up
11/13/14,4.09,4.15,3.95,3.97,-2.70%,,3.96,4.21,11/13/14,-0.248,down
11/14/14,3.99,4,3.85,3.92,-1.26%,,3.98,4.2,11/14/14,-0.221,up
11/17/14,3.9,4.03,3.9,3.98,1.53%,,4,4.19,11/17/14,-0.191,up
11/18/14,3.99,4.14,3.94,4.06,2.01%,,4,4.18,11/18/14,-0.177,up
11/19/14,4.06,4.27,3.96,4.12,1.48%,,4.01,4.17,11/19/14,-0.163,up
11/20/14,4.2,4.6,4.16,4.54,10.19%,0.42,4.12,4.18,11/20/14,-0.058,up
11/21/14,4.68,4.73,4.5,4.59,1.10%,0.05,4.26,4.2,11/21/14,0.062,up
11/24/14,4.8,5.27,4.71,5.27,14.81%,0.68,4.52,4.24,11/24/14,0.278,up
11/25/14,5.4,5.62,5.25,5.52,4.74%,0.25,4.81,4.29,11/25/14,0.523,up
11/26/14,5.55,5.71,5.21,5.7,3.26%,0.18,5.12,4.35,11/26/14,0.777,up
11/28/14,5.77,5.95,5.56,5.69,-0.18%,,5.35,4.4,11/28/14,0.951,up
12/01/14,5.78,5.81,5.34,5.56,-2.28%,,5.55,4.47,12/01/14,1.081,up
12/02/14,5.6,5.62,5.01,5.09,-8.45%,,5.51,4.51,12/02/14,1.005,down
12/03/14,5.05,5.11,4.72,4.76,-6.48%,,5.36,4.54,12/03/14,0.824,down
12/04/14,4.73,4.76,4.42,4.46,-6.30%,,5.11,4.56,12/04/14,0.553,down
12/05/14,4.38,4.7,4.37,4.66,4.48%,,4.91,4.59,12/05/14,0.32,down
12/08/14,4.77,4.97,4.65,4.95,6.22%,,4.78,4.64,12/08/14,0.141,down
12/09/14,4.99,5,4.51,4.93,-0.40%,,4.75,4.7,12/09/14,0.058,down
12/10/14,4.98,4.99,4.74,4.77,-3.25%,,4.75,4.73,12/10/14,0.023,down
